"Beer_ID","Beer Name","Style","ABV","IBU","Ounces","Brew_ID","Brewery Name","City","State"
468,"Hop Box Imperial IPA","American Double / Imperial IPA",0.093,90,12,234,"Joseph James Brewing Company","Henderson"," NV"
467,"Joseph James American Lager","American Adjunct Lager",0.052,15,12,234,"Joseph James Brewing Company","Henderson"," NV"
2059,"UFO Gingerland","Herbed / Spiced Beer",0.052,15,12,235,"Harpoon Brewery","Boston"," MA"
1653,"The Long Thaw White IPA","American White IPA",0.062,45,12,235,"Harpoon Brewery","Boston"," MA"
1558,"Honey Cider","Cider",0.048,NA,12,235,"Harpoon Brewery","Boston"," MA"
1380,"Harpoon Summer Beer","Kölsch",0.05,28,12,235,"Harpoon Brewery","Boston"," MA"
1379,"Harpoon IPA","American IPA",0.059,42,12,235,"Harpoon Brewery","Boston"," MA"
1340,"UFO Pumpkin","Pumpkin Ale",0.059,20,12,235,"Harpoon Brewery","Boston"," MA"
1313,"Harpoon Octoberfest","Märzen / Oktoberfest",0.055,30,12,235,"Harpoon Brewery","Boston"," MA"
770,"Harpoon IPA (2012)","American IPA",0.059,42,12,235,"Harpoon Brewery","Boston"," MA"
769,"Harpoon Summer Beer (2012)","Kölsch",0.05,28,12,235,"Harpoon Brewery","Boston"," MA"
610,"UFO White","American Pale Wheat Ale",0.048,10,12,235,"Harpoon Brewery","Boston"," MA"
192,"Harpoon Summer Beer (2010)","Kölsch",0.05,28,12,235,"Harpoon Brewery","Boston"," MA"
126,"Harpoon IPA (2010)","American IPA",0.059,42,12,235,"Harpoon Brewery","Boston"," MA"
2058,"Palate Mallet","American Double / Imperial IPA",0.086,NA,12,236,"Back East Brewing Company","Bloomfield"," CT"
1483,"Back East Porter","American Porter",0.06,NA,12,236,"Back East Brewing Company","Bloomfield"," CT"
1426,"Back East Golden Ale","American Blonde Ale",0.049,NA,12,236,"Back East Brewing Company","Bloomfield"," CT"
1132,"Misty Mountain IPA","American IPA",0.07,NA,12,236,"Back East Brewing Company","Bloomfield"," CT"
1131,"Back East Ale","American Amber / Red Ale",0.05,NA,12,236,"Back East Brewing Company","Bloomfield"," CT"
2057,"Stickin' In My Rye","Rye Beer",0.07,NA,24,237,"Champion Brewing Company","Charlottesville"," VA"
2056,"Black Me Stout","American Stout",0.06,45,12,237,"Champion Brewing Company","Charlottesville"," VA"
2055,"Killer Kolsch","Kölsch",0.05,22,12,237,"Champion Brewing Company","Charlottesville"," VA"
1933,"Missile IPA","American IPA",0.07,65,12,237,"Champion Brewing Company","Charlottesville"," VA"
2051,"Bravo Four Point","American Pale Ale (APA)",0.044,45,12,238,"Devil's Backbone Brewing Company","Lexington"," VA"
1201,"Striped Bass Pale Ale","American Pale Ale (APA)",0.052,26,12,238,"Devil's Backbone Brewing Company","Lexington"," VA"
2050,"Cream Ale","Cream Ale",0.042,35,12,239,"Newburgh Brewing Company","Newburgh"," NY"
2047,"Tarasque","Saison / Farmhouse Ale",0.059,NA,12,240,"Wiseacre Brewing Company","Memphis"," TN"
1470,"Ananda India Pale Ale","American IPA",0.062,61,12,240,"Wiseacre Brewing Company","Memphis"," TN"
1469,"Tiny Bomb","American Pilsner",0.045,23,12,240,"Wiseacre Brewing Company","Memphis"," TN"
2045,"Might As Well IPL","American Pale Lager",0.072,75,16,241,"Golden Road Brewing","Los Angeles"," CA"
1960,"Saison Pamplemousse","Saison / Farmhouse Ale",0.058,35,12,241,"Golden Road Brewing","Los Angeles"," CA"
1777,"2020 IPA","American IPA",0.074,74,16,241,"Golden Road Brewing","Los Angeles"," CA"
1698,"Wolf Among Weeds IPA","American IPA",0.08,70,16,241,"Golden Road Brewing","Los Angeles"," CA"
1641,"Better Weather IPA","American IPA",0.094,92,16,241,"Golden Road Brewing","Los Angeles"," CA"
1490,"Point the Way IPA","American IPA",0.059,60,16,241,"Golden Road Brewing","Los Angeles"," CA"
1489,"Golden Road Hefeweizen","Hefeweizen",0.046,15,16,241,"Golden Road Brewing","Los Angeles"," CA"
1399,"Heal the Bay IPA","American IPA",0.068,65,16,241,"Golden Road Brewing","Los Angeles"," CA"
1296,"Point the Way IPA","American IPA",0.059,60,12,241,"Golden Road Brewing","Los Angeles"," CA"
1034,"Cabrillo Kölsch","Kölsch",0.05,NA,16,241,"Golden Road Brewing","Los Angeles"," CA"
991,"Get Up Offa That Brown","American Brown Ale",0.055,20,16,241,"Golden Road Brewing","Los Angeles"," CA"
750,"Burning Bush Smoked IPA","American IPA",0.08,70,16,241,"Golden Road Brewing","Los Angeles"," CA"
749,"Wolf Among Weeds IPA (2012)","American IPA",0.08,70,16,241,"Golden Road Brewing","Los Angeles"," CA"
549,"Point the Way IPA (2012)","American IPA",0.059,60,16,241,"Golden Road Brewing","Los Angeles"," CA"
548,"Golden Road Hefeweizen (2012)","Hefeweizen",0.046,15,16,241,"Golden Road Brewing","Los Angeles"," CA"
2043,"Skylight","Dunkelweizen",0.056,20,12,242,"New Republic Brewing Company","College Station"," TX"
2042,"Kadigan","American Blonde Ale",0.056,30,12,242,"New Republic Brewing Company","College Station"," TX"
2041,"Dammit Jim!","American Amber / Red Ale",0.052,50,12,242,"New Republic Brewing Company","College Station"," TX"
2038,"Infamous IPA","American IPA",0.07,75,12,243,"Infamous Brewing Company","Austin"," TX"
1774,"Hijack","Cream Ale",0.055,20,12,243,"Infamous Brewing Company","Austin"," TX"
2037,"The Gilded Age","Munich Helles Lager",0.045,NA,12,244,"Two Henrys Brewing Company","Plant City"," FL"
2036,"Getaway","German Pilsener",0.052,30,16,245,"Lift Bridge Brewing Company","Stillwater"," MN"
1168,"Farm Girl Saison","Saison / Farmhouse Ale",0.06,30,16,245,"Lift Bridge Brewing Company","Stillwater"," MN"
2033,"Pub Ale","English Dark Mild Ale",0.038,18,12,246,"Lucky Town Brewing Company","Jackson"," MS"
2032,"Ballistic Blonde","Belgian Pale Ale",0.051,31,12,246,"Lucky Town Brewing Company","Jackson"," MS"
2031,"Golden Fleece","Belgian Pale Ale",0.045,35,12,247,"Quest Brewing Company","Greenville"," SC"
2030,"Smoking Mirror","American Porter",0.055,30,12,247,"Quest Brewing Company","Greenville"," SC"
2029,"Tropicalia","American IPA",0.065,65,12,248,"Creature Comforts","Athens"," GA"
2028,"Athena","Berliner Weissbier",0.045,NA,12,248,"Creature Comforts","Athens"," GA"
2026,"Pursuit","American IPA",0.07,40,12,249,"Half Full Brewery","Stamford"," CT"
1361,"Half Full Bright Ale","American Blonde Ale",0.052,18,12,249,"Half Full Brewery","Stamford"," CT"
2024,"Montauk Light","Light Lager",0.035,NA,12,250,"Southampton Publick House","Southampton"," NY"
2019,"Enlighten","Kölsch",0.045,NA,16,251,"Chapman's Brewing","Angola"," IN"
2018,"Ale Cider","Fruit / Vegetable Beer",0.065,8,16,251,"Chapman's Brewing","Angola"," IN"
2017,"Pail Ale","American Pale Ale (APA)",0.055,30,16,251,"Chapman's Brewing","Angola"," IN"
2016,"Englishman","English Brown Ale",0.045,NA,16,251,"Chapman's Brewing","Angola"," IN"
2005,"Barrio Blanco","American IPA",0.06,60,12,252,"Barrio Brewing Company","Tucson"," AZ"
1343,"Barrio Tucson Blonde","American Blonde Ale",0.045,NA,12,252,"Barrio Brewing Company","Tucson"," AZ"
2002,"Giant DIPA","American Double / Imperial IPA",0.089,88,16,253,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
1683,"Dread Brown Ale","American Brown Ale",0.054,NA,12,253,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
1362,"Casinos IPA","English India Pale Ale (IPA)",0.07,NA,16,253,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
1998,"Old Detroit","American Amber / Red Ale",0.056,NA,12,254,"Frankenmuth Brewery","Frankenmuth"," MI"
1556,"Batch 69 IPA","American IPA",0.069,69,12,254,"Frankenmuth Brewery","Frankenmuth"," MI"
1208,"Twisted Helles Summer Lager","Munich Helles Lager",0.055,18,12,254,"Frankenmuth Brewery","Frankenmuth"," MI"
1986,"Bushwhacker Cider","Cider",0.069,NA,16,255,"Meckley's Cidery","Somerset Center"," MI"
1985,"Weim-R-Iner","Cider",0.069,NA,16,255,"Meckley's Cidery","Somerset Center"," MI"
1984,"Cherry Bomb","Cider",0.069,NA,16,255,"Meckley's Cidery","Somerset Center"," MI"
1983,"Brontide","American Black Ale",0.05,NA,12,256,"Stillwater Artisanal Ales","Baltimore"," MD"
1631,"Brontide","American Black Ale",0.05,NA,12,256,"Stillwater Artisanal Ales","Baltimore"," MD"
1344,"Classique","Saison / Farmhouse Ale",0.045,NA,12,256,"Stillwater Artisanal Ales","Baltimore"," MD"
1981,"Hardcore Chimera","American Double / Imperial IPA",0.09,NA,16,257,"Finch's Beer Company","Chicago"," IL"
1664,"Sobek & Set","American Black Ale",0.08,80,16,257,"Finch's Beer Company","Chicago"," IL"
1663,"Nuclear Winter","Belgian Strong Dark Ale",0.086,NA,16,257,"Finch's Beer Company","Chicago"," IL"
1662,"Wet Hot American Wheat Ale","American Pale Wheat Ale",0.05,22,16,257,"Finch's Beer Company","Chicago"," IL"
941,"Secret Stache Stout","American Stout",0.053,NA,16,257,"Finch's Beer Company","Chicago"," IL"
935,"Fascist Pig Ale","American Amber / Red Ale",0.08,72,16,257,"Finch's Beer Company","Chicago"," IL"
809,"Cut Throat Pale Ale","American Pale Ale (APA)",0.055,NA,16,257,"Finch's Beer Company","Chicago"," IL"
481,"Threadless IPA","American IPA",0.075,NA,16,257,"Finch's Beer Company","Chicago"," IL"
351,"Cut Throat Pale Ale (2011)","American Pale Ale (APA)",0.055,NA,16,257,"Finch's Beer Company","Chicago"," IL"
350,"Golden Wing Blonde Ale","American Blonde Ale",0.047,NA,16,257,"Finch's Beer Company","Chicago"," IL"
1972,"LuckenBock","Bock",0.07,18,16,258,"South Austin Brewery","South Austin"," TX"
1971,"Texas Pale Ale (TPA)","American IPA",0.055,40,16,258,"South Austin Brewery","South Austin"," TX"
1970,"6 String Saison","Saison / Farmhouse Ale",0.08,NA,16,258,"South Austin Brewery","South Austin"," TX"
1969,"Kol' Beer","Kölsch",0.05,22,16,258,"South Austin Brewery","South Austin"," TX"
1966,"Wagon Party","California Common / Steam Beer",0.054,55,12,259,"Bauhaus Brew Labs","Minneapolis"," MN"
1965,"Sky-Five","American IPA",0.067,70,12,259,"Bauhaus Brew Labs","Minneapolis"," MN"
1964,"Stargrazer","Schwarzbier",0.05,28,12,259,"Bauhaus Brew Labs","Minneapolis"," MN"
1963,"Wonderstuff","German Pilsener",0.054,48,12,259,"Bauhaus Brew Labs","Minneapolis"," MN"
1961,"Ozark American Pale Ale","American Pale Ale (APA)",0.04,39,12,260,"Ozark Beer Company","Rogers"," AR"
1952,"Train Wreck","American Amber / Red Ale",0.082,NA,16,261,"Mountain Town Brewing Company ","Mount Pleasant"," MI"
1946,"Overgrown American Pale Ale","American Pale Ale (APA)",0.055,55,12,262,"Otter Creek Brewing","Waterbury"," VT"
1945,"Birdhouse Pale Ale","Belgian Pale Ale",0.05,NA,12,263,"The Brewer's Art","Baltimore"," MD"
1079,"Ozzy","Belgian Pale Ale",0.073,NA,12,263,"The Brewer's Art","Baltimore"," MD"
94,"Resurrection","Dubbel",0.07,NA,12,263,"The Brewer's Art","Baltimore"," MD"
1944,"Incredible Pedal IPA","American IPA",0.07,NA,12,264,"Denver Beer Company","Denver"," CO"
1943,"Graham Cracker Porter","American Porter",0.05,NA,12,264,"Denver Beer Company","Denver"," CO"
1942,"Rudie Session IPA","American IPA",0.045,NA,12,265,"Ska Brewing Company","Durango"," CO"
1708,"Taster's Choice","Doppelbock",0.074,NA,12,265,"Ska Brewing Company","Durango"," CO"
1521,"Modus Hoperandi","American IPA",0.068,65,12,265,"Ska Brewing Company","Durango"," CO"
1297,"Estival Cream Stout","American Stout",0.058,15,12,265,"Ska Brewing Company","Durango"," CO"
1192,"Vernal Minthe Stout","American Stout",0.058,NA,12,265,"Ska Brewing Company","Durango"," CO"
1013,"Hibernal Vinifera Stout","Foreign / Export Stout",0.08,NA,12,265,"Ska Brewing Company","Durango"," CO"
774,"Autumnal Molé Stout","American Stout",NA,NA,12,265,"Ska Brewing Company","Durango"," CO"
386,"Mexican Logger","American Pale Lager",0.042,18,12,265,"Ska Brewing Company","Durango"," CO"
70,"True Blonde Ale","American Blonde Ale",0.053,NA,12,265,"Ska Brewing Company","Durango"," CO"
69,"Euphoria Pale Ale","American Pale Ale (APA)",0.061,NA,12,265,"Ska Brewing Company","Durango"," CO"
68,"ESB Special Ale","Extra Special / Strong Bitter (ESB)",0.057,58,12,265,"Ska Brewing Company","Durango"," CO"
67,"Modus Hoperandi","American IPA",0.068,65,12,265,"Ska Brewing Company","Durango"," CO"
1938,"Almanac IPA","American IPA",0.062,72,12,266,"Tractor Brewing Company","Albuquerque"," NM"
1937,"Milk Mustachio Stout","Milk / Sweet Stout",0.065,NA,12,266,"Tractor Brewing Company","Albuquerque"," NM"
1936,"Farmer's Tan Red Ale","American Amber / Red Ale",0.06,30,12,266,"Tractor Brewing Company","Albuquerque"," NM"
1931,"Fresh Cut Pilsner","American Pilsner",0.046,NA,12,267,"Peak Organic Brewing Company","Portland"," ME"
1930,"Summer Session Ale","American Pale Wheat Ale",0.05,61,12,267,"Peak Organic Brewing Company","Portland"," ME"
1928,"Cape Cod Red","American Amber / Red Ale",0.055,35,16,268,"Cape Cod Beer","Hyannis"," MA"
1927,"Beach Blonde","American Blonde Ale",0.049,10,16,268,"Cape Cod Beer","Hyannis"," MA"
1926,"Long Trail IPA","English India Pale Ale (IPA)",0.059,42,12,269,"Long Trail Brewing Company","Bridgewater Corners"," VT"
1924,"Long Trail Ale","American Amber / Red Ale",0.046,30,12,269,"Long Trail Brewing Company","Bridgewater Corners"," VT"
1090,"Double Bag","Altbier",0.072,33,16,269,"Long Trail Brewing Company","Bridgewater Corners"," VT"
574,"Blackbeary Wheat","Fruit / Vegetable Beer",0.04,8,12,269,"Long Trail Brewing Company","Bridgewater Corners"," VT"
573,"Long Trail Ale (1)","Altbier",0.046,30,12,269,"Long Trail Brewing Company","Bridgewater Corners"," VT"
1923,"Commotion APA","American Pale Ale (APA)",0.052,49,12,270,"Great Raft Brewing Company","Shreveport"," LA"
1922,"Southern Drawl Pale Lager","American Pale Lager",0.052,NA,12,270,"Great Raft Brewing Company","Shreveport"," LA"
1921,"Freeride APA","American Pale Ale (APA)",0.053,40,12,271,"Alaskan Brewing Company","Juneau"," AK"
1920,"Alaskan Amber","Altbier",0.053,18,12,271,"Alaskan Brewing Company","Juneau"," AK"
1917,"Left of the Dial IPA","American IPA",0.043,NA,12,272,"Notch Brewing Company","Ipswich"," MA"
1190,"Notch Session Pils","Czech Pilsener",0.04,NA,12,272,"Notch Brewing Company","Ipswich"," MA"
1916,"Petit Mutant","American Wild Ale",0.06,NA,16,273,"The Alchemist","Waterbury"," VT"
1915,"The Crusher","American Double / Imperial IPA",0.096,NA,16,273,"The Alchemist","Waterbury"," VT"
1914,"Beelzebub","American Double / Imperial Stout",0.08,NA,16,273,"The Alchemist","Waterbury"," VT"
1810,"Focal Banger","American IPA",0.07,NA,16,273,"The Alchemist","Waterbury"," VT"
1111,"Heady Topper","American Double / Imperial IPA",0.08,120,16,273,"The Alchemist","Waterbury"," VT"
379,"Heady Topper","American Double / Imperial IPA",0.08,120,16,273,"The Alchemist","Waterbury"," VT"
1913,"Hydraulion Red","Irish Red Ale",0.053,22,12,274,"Three Notch'd Brewing Company","Charlottesville"," VA"
1912,"40 Mile IPA","American IPA",0.06,50,12,274,"Three Notch'd Brewing Company","Charlottesville"," VA"
1909,"Big Chuck Barleywine","American Barleywine",0.099,NA,12,275,"Portside Brewery","Cleveland"," OH"
1908,"Fresh Slice White IPA","American White IPA",0.055,45,12,276,"Otter Creek Brewing","Middlebury"," VT"
1907,"Montauk Summer Ale","American Blonde Ale",0.056,28,12,277,"Montauk Brewing Company","Montauk"," NY"
1906,"Driftwood Ale","Extra Special / Strong Bitter (ESB)",0.06,49,12,277,"Montauk Brewing Company","Montauk"," NY"
1903,"Let It Ride IPA","American IPA",0.068,90,12,278,"Indeed Brewing Company","Minneapolis"," MN"
1691,"Stir Crazy Winter Ale","Winter Warmer",0.065,22,12,278,"Indeed Brewing Company","Minneapolis"," MN"
1555,"Sweet Yamma Jamma Ale","Fruit / Vegetable Beer",0.05,10,12,278,"Indeed Brewing Company","Minneapolis"," MN"
1115,"Shenanigans Summer Ale","American Pale Wheat Ale",0.046,27,12,278,"Indeed Brewing Company","Minneapolis"," MN"
729,"Midnight Ryder","American Black Ale",0.065,80,12,278,"Indeed Brewing Company","Minneapolis"," MN"
728,"Day Tripper Pale Ale","American Pale Ale (APA)",0.054,45,12,278,"Indeed Brewing Company","Minneapolis"," MN"
1900,"Lost Sailor IPA","English India Pale Ale (IPA)",0.055,40,12,279,"Berkshire Brewing Company","South Deerfield"," MA"
1317,"Steel Rail Extra Pale Ale","American Pale Ale (APA)",0.053,20,12,279,"Berkshire Brewing Company","South Deerfield"," MA"
1899,"La Ferme Urbaine Farmhouse Ale","Saison / Farmhouse Ale",0.078,NA,12,280,"Foolproof Brewing Company","Pawtucket"," RI"
983,"Backyahd IPA","American IPA",0.06,NA,12,280,"Foolproof Brewing Company","Pawtucket"," RI"
982,"Raincloud Robust Porter","American Porter",0.065,NA,12,280,"Foolproof Brewing Company","Pawtucket"," RI"
981,"Barstool American Golden Ale","American Blonde Ale",0.045,NA,12,280,"Foolproof Brewing Company","Pawtucket"," RI"
1895,"Groupe G","Belgian IPA",0.076,65,16,281,"Headlands Brewing Company","Mill Valley"," CA"
1894,"Pt. Bonita Rustic Lager","American Pale Lager",0.062,40,16,281,"Headlands Brewing Company","Mill Valley"," CA"
1893,"Hill 88 Double IPA","American Double / Imperial IPA",0.088,77,16,281,"Headlands Brewing Company","Mill Valley"," CA"
1891,"Longhop IPA","American IPA",0.042,30,16,282,"Bolero Snort Brewery","Ridgefield Park"," NJ"
1890,"Lucky Buck","Irish Dry Stout",0.04,34,16,282,"Bolero Snort Brewery","Ridgefield Park"," NJ"
1889,"Leatherhead Red","American Amber / Red Ale",0.052,NA,12,283,"Thunderhead Brewing Company","Kearney"," NE"
1222,"Cropduster Mid-American IPA","American IPA",0.065,NA,12,283,"Thunderhead Brewing Company","Kearney"," NE"
122,"Golden Frau Honey Wheat","Braggot",0.075,NA,12,283,"Thunderhead Brewing Company","Kearney"," NE"
121,"Cornstalker Dark Wheat","American Dark Wheat Ale",NA,NA,12,283,"Thunderhead Brewing Company","Kearney"," NE"
1886,"Thrasher Session India Pale Ale","American IPA",0.045,44,12,284,"Defiance Brewing Company","Hays"," KS"
1885,"Gutch English Style Mild Ale","English Pale Mild Ale",0.05,16,12,284,"Defiance Brewing Company","Hays"," KS"
1884,"Hop Freak","American Double / Imperial IPA",0.087,80,16,285,"Milwaukee Brewing Company","Milwaukee"," WI"
1272,"Louie's Demise Amber Ale","American Amber / Red Ale",0.051,24,16,285,"Milwaukee Brewing Company","Milwaukee"," WI"
1080,"Hop Happy","American IPA",0.075,51,16,285,"Milwaukee Brewing Company","Milwaukee"," WI"
932,"Booyah Farmhouse Ale","Saison / Farmhouse Ale",0.065,20,16,285,"Milwaukee Brewing Company","Milwaukee"," WI"
776,"O-Gii","Witbier",0.092,NA,16,285,"Milwaukee Brewing Company","Milwaukee"," WI"
172,"Flaming Damsel Lager (2010)","Vienna Lager",0.048,18,16,285,"Milwaukee Brewing Company","Milwaukee"," WI"
171,"Louie’s Demise Immort-Ale (2010)","American Amber / Red Ale",0.051,24,16,285,"Milwaukee Brewing Company","Milwaukee"," WI"
1882,"Whitecap Wit","Witbier",0.048,16,16,286,"Catawba Island Brewing","Port Clinton"," OH"
1881,"Seiche Scottish Ale","Scottish Ale",0.078,16,16,286,"Catawba Island Brewing","Port Clinton"," OH"
1876,"Truck Stop Honey Brown Ale","English Brown Ale",0.06,NA,12,287,"Back Forty Beer Company","Gadsden"," AL"
1875,"Naked Pig Pale Ale","American Pale Ale (APA)",0.06,43,12,287,"Back Forty Beer Company","Gadsden"," AL"
1874,"El Chingon IPA","American IPA",0.076,73,12,288,"Four Corners Brewing Company","Dallas"," TX"
1873,"Block Party Robust Porter","American Porter",0.057,40,12,288,"Four Corners Brewing Company","Dallas"," TX"
1872,"Local Buzz","American Blonde Ale",0.052,20,12,288,"Four Corners Brewing Company","Dallas"," TX"
1868,"Saint Archer White Ale","Witbier",0.05,15,12,289,"Saint Archer Brewery","San Diego"," CA"
1867,"Saint Archer IPA","American IPA",0.068,66,12,289,"Saint Archer Brewery","San Diego"," CA"
1865,"Saint Archer Pale Ale","American Pale Ale (APA)",0.052,40,12,289,"Saint Archer Brewery","San Diego"," CA"
1864,"Saint Archer Blonde","Kölsch",0.048,22,12,289,"Saint Archer Brewery","San Diego"," CA"
1860,"Rogue American Amber Ale","American Amber / Red Ale",0.051,NA,16,290,"Rogue Ales","Newport"," OR"
1857,"Supergoose IPA","American IPA",0.069,67,12,291,"Hale's Ales","Seattle"," WA"
1440,"Hale's Pale American Ale","American Pale Ale (APA)",0.047,NA,12,291,"Hale's Ales","Seattle"," WA"
1856,"IPA & a Half","American IPA",0.073,87,12,292,"Tommyknocker Brewery","Idaho Springs"," CO"
736,"Ornery Amber Lager (2003)","Vienna Lager",0.055,33,12,292,"Tommyknocker Brewery","Idaho Springs"," CO"
1855,"Tarnation California-Style Lager","California Common / Steam Beer",0.053,NA,12,293,"Baxter Brewing Company","Lewiston"," ME"
